["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+014 7.1902432541017403e-004 6.0711129633308270e-001
1.8749519977416666e+014 7.2237984388471036e-004 6.0374796202506298e-001
1.8762011329833334e+014 7.2586654166869387e-004 6.0077071765187773e-001
1.8774502682250000e+014 7.2947041302347216e-004 5.9821797960611556e-001
1.8786994034666666e+014 7.3317507920929990e-004 5.9615331816933137e-001
1.8799485387083334e+014 7.3694237930053519e-004 5.9465874967586629e-001
1.8811976739500000e+014 7.4070054291245399e-004 5.9381064621755342e-001
1.8824468091916666e+014 7.4434680600074282e-004 5.9364980245815646e-001
1.8836959444333334e+014 7.4776445837980204e-004 5.9415998539920778e-001
1.8849450796750000e+014 7.5084752362136308e-004 5.9526521681723421e-001
1.8861942149166666e+014 7.5352274904463205e-004 5.9684737921438091e-001
1.8874433501583334e+014 7.5710867171980417e-004 5.9759276576202847e-001
1.8886924854000000e+014 7.6026227349192512e-004 5.9857512268087465e-001
1.8899416206416666e+014 7.6301050712746486e-004 5.9971844283146758e-001
1.8911907558833334e+014 7.6537893764452858e-004 6.0098385579795133e-001
1.8924398911250000e+014 7.6737632446500018e-004 6.0235128767430712e-001
1.8936890263666666e+014 7.6899251651771860e-004 6.0379362832701122e-001
1.8949381616083334e+014 7.7021035494224304e-004 6.0525643781727523e-001
1.8961872968500000e+014 7.7102563394466830e-004 6.0665350283495190e-001
1.8974364320916666e+014 7.7146530533100336e-004 6.0788117151137999e-001
1.8986855673333334e+014 7.7159477350773661e-004 6.0884576099499943e-001
1.8999347025750000e+014 7.7279598443278600e-004 6.0835762456129672e-001
1.9011838378166666e+014 7.7389051639741946e-004 6.0755297589855850e-001
1.9024329730583334e+014 7.7497011331148762e-004 6.0648797165393731e-001
1.9036821083000000e+014 7.7609265556312975e-004 6.0525164379684970e-001
1.9049312435416666e+014 7.7727736983520081e-004 6.0393506331696156e-001
1.9061803787833334e+014 7.7851551025783395e-004 6.0260467760055136e-001
1.9074295140250000e+014 7.7979083670442638e-004 6.0129137881875983e-001
1.9086786492666666e+014 7.8109981674606829e-004 5.9999931112673655e-001
1.9099277845083334e+014 7.8246181676574415e-004 5.9872911247408989e-001
1.9111769197500000e+014 7.8391440895888523e-004 5.9750359789878293e-001
1.9124260549916666e+014 7.8674155589739342e-004 5.9533142035432607e-001
1.9136751902333334e+014 7.8971875122055822e-004 5.9336729862373794e-001
1.9149243254750000e+014 7.9282612968193918e-004 5.9171627167125662e-001
1.9161734607166666e+014 7.9600504516280657e-004 5.9046489141552960e-001
1.9174225959583334e+014 7.9917151001337550e-004 5.8965634617015106e-001
1.9186717312000000e+014 8.0223920579316425e-004 5.8928176765391205e-001
1.9199208664416666e+014 8.0514203427972555e-004 5.8929110826528242e-001
1.9211700016833334e+014 8.0784655991773347e-004 5.8961808732809240e-001
1.9224191369250000e+014 8.1034947657324574e-004 5.9020764148944083e-001
1.9236682721666666e+014 8.1266213662098082e-004 5.9103361540402688e-001
1.9249174074083334e+014 8.1598877678464325e-004 5.9113065564218403e-001
1.9261665426500000e+014 8.1911464852180984e-004 5.9148604034317132e-001
1.9274156778916666e+014 8.2199938670483408e-004 5.9210284877299024e-001
1.9286648131333334e+014 8.2459018587732356e-004 5.9295217930226296e-001
1.9299139483750000e+014 8.2684245487627602e-004 5.9396693741726814e-001
1.9311630836166666e+014 8.2873995084833474e-004 5.9505343045019587e-001
1.9324122188583331e+014 8.3030492930579250e-004 5.9611607069738348e-001
1.9336613541000000e+014 8.3159332466223573e-004 5.9708451171442689e-001
1.9349104893416666e+014 8.3267675183015745e-004 5.9793134668138459e-001
1.9361596245833331e+014 8.3361914323666761e-004 5.9867259613322898e-001
1.9374087598250000e+014 8.3560303163399000e-004 5.9843146976029749e-001
1.9386578950666666e+014 8.3749089696629093e-004 5.9817160124088775e-001
1.9399070303083331e+014 8.3926769740101474e-004 5.9791237345003490e-001
1.9411561655500000e+014 8.4091700924335711e-004 5.9764008650254008e-001
1.9424053007916666e+014 8.4244171714069186e-004 5.9731660849615420e-001
1.9436544360333331e+014 8.4387511673712692e-004 5.9690223561658262e-001
1.9449035712750000e+014 8.4527676916434816e-004 5.9638201753854692e-001
1.9461527065166666e+014 8.4671449388535485e-004 5.9578306338696396e-001
1.9474018417583331e+014 8.4824037865207595e-004 5.9517428813396978e-001
1.9486509770000000e+014 8.4987162966617866e-004 5.9464803123565868e-001
1.9499001122416666e+014 8.5268706171161214e-004 5.9343189157505094e-001
1.9511492474833331e+014 8.5553346933359229e-004 5.9244609471349152e-001
1.9523983827250000e+014 8.5834973884972392e-004 5.9170148878640283e-001
1.9536475179666666e+014 8.6109067579733412e-004 5.9117194868727607e-001
1.9548966532083331e+014 8.6374142240570428e-004 5.9081677727359649e-001
1.9561457884500000e+014 8.6631638092113351e-004 5.9060770015381725e-001
1.9573949236916666e+014 8.6884351402386005e-004 5.9054788519701540e-001
1.9586440589333331e+014 8.7134161365477378e-004 5.9067422702628170e-001
1.9598931941750000e+014 8.7380136494106262e-004 5.9104190051408878e-001
1.9611423294166666e+014 8.7617927722583261e-004 5.9169840683579489e-001
1.9623914646583331e+014 8.7946588499206581e-004 5.9186057634612044e-001
1.9636405999000000e+014 8.8253213803357708e-004 5.9230056267742015e-001
1.9648897351416666e+014 8.8532817063035588e-004 5.9295154703235853e-001
1.9661388703833331e+014 8.8784057359548771e-004 5.9373158396117909e-001
1.9673880056250000e+014 8.9009250353520256e-004 5.9457077943574055e-001
1.9686371408666666e+014 8.9212886271412904e-004 5.9543177551054793e-001
1.9698862761083331e+014 8.9399354832629706e-004 5.9631472481472059e-001
1.9711354113500000e+014 8.9570931782993832e-004 5.9724502353084563e-001
1.9723845465916666e+014 8.9726952436969157e-004 5.9824995839234607e-001
1.9736336818333331e+014 8.9864539687689040e-004 5.9933549147521648e-001
1.9748828170750000e+014 9.0081489166949703e-004 5.9971658558432295e-001
1.9761319523166666e+014 9.0275548099191111e-004 6.0009505377671257e-001
1.9773810875583331e+014 9.0448791968214580e-004 6.0040621458293908e-001
1.9786302228000000e+014 9.0606588429588191e-004 6.0060280034083535e-001
1.9798793580416666e+014 9.0756052703047565e-004 6.0067458384156736e-001
1.9811284932833331e+014 9.0903684803529802e-004 6.0065280410514099e-001
1.9823776285250000e+014 9.1053252967793978e-004 6.0059715278671999e-001
