["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.9061803787833334e+014 7.4168603207656479e-004 5.4120146623831722e-001
1.9074295140250000e+014 7.5613970822375597e-004 5.3521309218472979e-001
1.9086786492666666e+014 7.7069716852736316e-004 5.3398070821264365e-001
1.9099277845083334e+014 7.8447494658105720e-004 5.3698041626487347e-001
1.9111769197500000e+014 7.9675426597244719e-004 5.4349097270521296e-001
1.9124260549916666e+014 8.0828599464158974e-004 5.5174113772265210e-001
1.9136751902333334e+014 8.1743955914652063e-004 5.6183666011932698e-001
1.9149243254750000e+014 8.2406232989403600e-004 5.7296474531888197e-001
1.9161734607166666e+014 8.2816980046428483e-004 5.8438846808542133e-001
1.9174225959583334e+014 8.2991896705605548e-004 5.9547027783774265e-001
1.9186717312000000e+014 8.2957694425149844e-004 6.0568688507487145e-001
1.9199208664416666e+014 8.2748695687700049e-004 6.1463749885367580e-001
1.9211700016833334e+014 8.2403386557499802e-004 6.2204593599660407e-001
1.9224191369250000e+014 8.1961153630777145e-004 6.2775628595182975e-001
1.9236682721666666e+014 8.1459446539133861e-004 6.3172171104026564e-001
1.9249174074083334e+014 8.1048044903013028e-004 6.3295015596736615e-001
1.9261665426500000e+014 8.0638434012217852e-004 6.3257663322260393e-001
1.9274156778916666e+014 8.0252923051058454e-004 6.3076277946888759e-001
1.9286648131333334e+014 7.9908297237296167e-004 6.2768782133081336e-001
1.9299139483750000e+014 7.9616975523686903e-004 6.2352868662706684e-001
1.9311630836166666e+014 7.9388605085968500e-004 6.1844875052915882e-001
1.9324122188583331e+014 7.9231731472740349e-004 6.1259699529709466e-001
1.9336613541000000e+014 7.9155170888223192e-004 6.0611727180457975e-001
1.9349104893416666e+014 7.9168762405054595e-004 5.9916518405392005e-001
1.9361596245833331e+014 7.9283285516435777e-004 5.9192829581533890e-001
1.9374087598250000e+014 7.9625085308343145e-004 5.8370061785544103e-001
1.9386578950666666e+014 8.0088690019718101e-004 5.7575420758407880e-001
1.9399070303083331e+014 8.0678738945375397e-004 5.6844750944886757e-001
1.9411561655500000e+014 8.1393214502069669e-004 5.6217939648025506e-001
1.9424053007916666e+014 8.2221349953883090e-004 5.5735975883414446e-001
1.9436544360333331e+014 8.3142310924995953e-004 5.5437142988658361e-001
1.9449035712750000e+014 8.4124956348256732e-004 5.5352976659674014e-001
1.9461527065166666e+014 8.5128802619904311e-004 5.5504647794019502e-001
1.9474018417583331e+014 8.6106123459229230e-004 5.5900281755464010e-001
1.9486509770000000e+014 8.7004964781211159e-004 5.6533470001996000e-001
1.9499001122416666e+014 8.7884430794930694e-004 5.7302171572046623e-001
1.9511492474833331e+014 8.8582270476360737e-004 5.8250366078585802e-001
1.9523983827250000e+014 8.9056084182205194e-004 5.9328844751755194e-001
1.9536475179666666e+014 8.9274444925987388e-004 6.0477710012952079e-001
1.9548966532083331e+014 8.9220125148488155e-004 6.1628689259110681e-001
1.9561457884500000e+014 8.8892705209897354e-004 6.2707829355853972e-001
1.9573949236916666e+014 8.8310396726331533e-004 6.3638745769234428e-001
1.9586440589333331e+014 8.7510882550815542e-004 6.4346710116731076e-001
1.9598931941750000e+014 8.6550920223861592e-004 6.4763887567346934e-001
1.9611423294166666e+014 8.5504397601960931e-004 6.4835913233802100e-001
1.9623914646583331e+014 8.4560501612932046e-004 6.4440102752530204e-001
1.9636405999000000e+014 8.3712986527768863e-004 6.3661955167350059e-001
1.9648897351416666e+014 8.3056487433567580e-004 6.2535730355755514e-001
1.9661388703833331e+014 8.2675097635774250e-004 6.1135035156267103e-001
1.9673880056250000e+014 8.2632265438792600e-004 5.9569408135583801e-001
